,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
551,BUSINESS DATA ANALYST,Rebel Bots,3-5 Yrs,3.0,5.0,,,,Remote,365.0,Naukri,4.0,158.0,"Analytical, Business analysis, Gaming",
552,Master Data Analyst,Oriflame Cosmetics Ltd,3-5 Yrs,3.0,5.0,,,,New Delhi,365.0,Naukri,3.8,233.0,"General accounting, Automation, IFS",
553,Data Analyst,Contus,5-10 Yrs,5.0,10.0,,,,Chennai,1095.0,Naukri,4.3,90.0,"Computer science, Analytical skills, Data analysis",
554,Data Analyst - Python/SQL/a/b Testing (3-9 yrs),HuQuo Consulting Pvt. Ltd.,3-9 Yrs,3.0,9.0,,,,Gurgaon / Gurugram,23.0,iimjobs,3.8,14.0,"Analytics, Data Analytics, SQL",
555,Zeno Health - Data Analyst (2-4 yrs),Zeno Health,,,,,,,,30.0,iimjobs,3.9,137.0,,
556,Priority Technology Holdings - Data Analyst - Business Intelligence (2-5 yrs),Priority Technology Holdings,2-5 Yrs,2.0,5.0,,,,Chandigarh,19.0,hirist,3.1,46.0,"Data Analyst, SQL, Data Analytics",
557,Data Analyst (Power BI Developer),Mobio Solutions,2-5 Yrs,2.0,5.0,,,,Ahmedabad,30.0,Naukri,5.0,5.0,"data analysis, etl process, dashboards",
558,Data Analyst,Capco Technologies Pvt Ltd,7-8 Yrs,7.0,8.0,,,,"Chennai, Pune, Mumbai
													+3 more",120.0,Naukri,3.7,424.0,"data governance, Financial services, Operational risk",
559,Assistant Manager MIS,IndiaMART InterMESH Ltd,0-3 Yrs,0.0,3.0,,,,Noida,210.0,Naukri,3.6,4000.0,"Data collection, Operations, Assistant Manager MIS",
560,Data Analyst,Capco Technologies Pvt Ltd,3-6 Yrs,3.0,6.0,₹ 6.8 - 8.5L/yr (AmbitionBox estimate),680000.0,850000.0,Bangalore / Bengaluru,365.0,Naukri,3.7,424.0,"Financial services, Asset management, Core banking",Estimated by Ambition Box
561,Business / Data Analyst,REVENTICS,2-3 Yrs,2.0,3.0,,,,Hyderabad / Secunderabad,1095.0,Naukri,4.2,138.0,"Computer science, SAS, Performance management",
562,Data Analyst,Capco Technologies Pvt Ltd,3-6 Yrs,3.0,6.0,₹ 6.8 - 10L/yr (AmbitionBox estimate),680000.0,1000000.0,Bangalore / Bengaluru,1095.0,Naukri,3.7,424.0,"Financial services, Relationship management, Investment banking",Estimated by Ambition Box
563,Data Analyst,Capco Technologies Pvt Ltd,7-8 Yrs,7.0,8.0,,,,"Chennai, Pune, Mumbai
													+3 more",120.0,Naukri,3.7,424.0,"data governance, Financial services, Operational risk",
564,Agrim Wholesale - Business Analyst (1-3 yrs),Agrim,1-3 Yrs,1.0,3.0,,,,Gurgaon / Gurugram,60.0,hirist,3.5,95.0,"Data Analytics, Analytics, Data Analyst",
565,Data Analyst,Gupta And Sharma,0-2 Yrs,0.0,2.0,₹ 3 - 4L/yr,300000.0,400000.0,Bangalore / Bengaluru,8.0,Naukri,3.7,6.0,"Banking Operations, Power Bi, Mis Report Preparation",Salary Listed by Company
566,Lead Hybrid BI Engineer - Power BI/Azure (6-9 yrs),Infiniti Research,6-9 Yrs,6.0,9.0,,,,Bangalore / Bengaluru,60.0,hirist,4.0,379.0,"Power BI, Azure, Data Analytics",
567,Data Analyst,Paramount Health Services(TPA) Pvt. Ltd.,4-5 Yrs,4.0,5.0,,,,Thane,270.0,Naukri,3.9,369.0,"Cognos, Production support, Technology management",
568,Data Analyst,Paramount,1-4 Yrs,1.0,4.0,,,,Thane,365.0,Naukri,3.9,369.0,"Data analysis, SQL, Oracle",
569,Data Analyst - SQL/Python (5-6 yrs),Mobile Programming LLC,5-6 Yrs,5.0,6.0,,,,Gurgaon / Gurugram,30.0,hirist,2.9,333.0,"Data Analytics, Data Analyst, SQL",
570,Techmagnate - Data Analyst (3-8 yrs),Techmagnate,3-8 Yrs,3.0,8.0,,,,Delhi ncr,60.0,iimjobs,3.9,120.0,"Analytics, Data Analytics, Data Visualization",
571,Data Analyst,Addverb Technologies,1-3 Yrs,1.0,3.0,,,,Noida,365.0,Naukri,4.0,344.0,"3D, Automation, Sales",
572,Data Analyst,Intelligaia Technologies Pvt. Ltd.,3-4 Yrs,3.0,4.0,,,,Panchkula,365.0,Naukri,4.8,12.0,"Analytics, Market research, Data analysis",
573,Data Analyst,AXIS MY INDIA Ltd.,1-4 Yrs,1.0,4.0,₹ 3 - 4.5L/yr (AmbitionBox estimate),300000.0,450000.0,Mumbai,365.0,Naukri,4.0,244.0,"Data analysis, Automation, Data collection",Estimated by Ambition Box
574,SuperBottoms - Data Analyst - D2C/eCommerce Domain (2-7 yrs),SuperBottoms,2-7 Yrs,2.0,7.0,,,,"Mumbai, Navi Mumbai, Thane",30.0,iimjobs,4.0,56.0,"Data Analytics, Analytics",
575,WovV Technologies - Data Analyst - SQL/Python (7-9 yrs),Wovv Technology,7-9 Yrs,7.0,9.0,,,,Mumbai,60.0,hirist,4.6,143.0,"Data Analyst, Data Analytics, Data Validation",
576,Manager / AVP Data Analyst (FATCA),The Edge Partnership,7-9 Yrs,7.0,9.0,,,,Bangalore / Bengaluru,16.0,Naukri,3.6,9.0,"Root cause analysis, Data analysis, Project management",
577,SalaryBox - Senior Data Analyst - Python/SQL (2-4 yrs),SalaryBox,2-4 Yrs,2.0,4.0,,,,Gurgaon / Gurugram,24.0,hirist,3.1,67.0,"Data Analyst, Data Analytics, Quantitative Analytics",
